filepath,distgen_total_charge
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/e16ca3a9f486c86eb2902914822f7cf9.h5,5.034310404912556e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/6de66d012041bf81c38c2476ee6158f3.h5,5.05432196527002e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/38649b7369cc4ed0a0cb416c631dbfb8.h5,5.009785282375056e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/7b8242e767ef15984d8b4219d8524190.h5,5.07553133145461e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d3b1e66ee0c7e1c0e50fae2074ce2025.h5,5.00526100676581e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f09c46bb8f5004404c11169c89348230.h5,5.011095822059014e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/37f3480d7683ee900f03d6bb980807b9.h5,5.09595374600906e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/70313eeb7d5b2aae976f61d7140b924f.h5,5.013050587003667e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9e71c50aae02124005328b453172b8ec.h5,5.056601848233891e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ca4e23b802dbcba334e86268213047ad.h5,5.049285075384505e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/56184124230a3c4b279cb4729a3ee295.h5,5.072207269079244e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ae1e24b748f8185d675bf2571d46224b.h5,5.071369647618862e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2bc26c0fe2fd2325607f4e99c78e9626.h5,5.05557721296946e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/e79734f5ffc98a265f2e4693084ce006.h5,5.07679126005703e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9378960f981ddc2f81b877ed89a81210.h5,5.045349503159282e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/7c5e9c7cb5ee11a90e2e7615d8234351.h5,5.071404434686402e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/da914932585fce2220d3b712b00759b4.h5,5.057684497374164e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/13efec5d26d35ae1c3cb8e398f950bf8.h5,5.08115113726143e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ab460b099a259c02c0559474c8dbd7b2.h5,5.088604823567823e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/4c8bfb7290e81433ce44620601376f7c.h5,5.013949525329824e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/6596894d10ca020b90fb0808a1d23be8.h5,5.011038067688323e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5f055b48df4122d741677f41a7cafd72.h5,5.054838215018187e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/fbbf056ae3e552a19dec85ff05d11f08.h5,5.011905881046766e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/c3a90acf096e2461093bc95424604301.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/26065c8cb87f0f10d7ccf611cdc71dad.h5,5.00234088543415e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/68e00edd2d4fcdbce98c9cb2713afebe.h5,5.003303436780534e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/bde885e696ab43db5da54ef68a8c526c.h5,5.02621172467433e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9d156c9186aae826584a2baf4fbfe639.h5,5.034367104360732e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5bfc0f5dc6f88c0e1962d470589285e7.h5,5.019827377625177e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f7900e907e6f946deb3f821f0ff8709f.h5,5.016825213701595e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/8d13b63dedbb97bd57006bc0d4ba510d.h5,5.01564832181508e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/7a68f359e21c5d95e48551aa489c142f.h5,5.018553800789442e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f4d5a1f032ad49701871cc5038ec3215.h5,5.020296846084938e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/75af684e884472b461b6bc6a959794d0.h5,5.054183571164624e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5a118326ffe557ab394e7235178d9af9.h5,5.067054050094165e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/67e91fcc0397201066753d59c6d67ddc.h5,5.013021181677871e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/017a2ed86da70bc2f0dfec02ffd0dc55.h5,5.0455110085862e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/4a4d271d445b9723187d5e109463ef36.h5,5.053893135249484e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9d6d965e8f86f2cec1ffa74cf2d22cc2.h5,5.012610856182148e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/86a0d5481a87d940d905f78fec8eb369.h5,5.059100002583861e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d89ef3177c762222668c9d3619696d96.h5,5.099525137994251e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9ea2231558dd206f3ca5ae21e23d275e.h5,5.038593254633596e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5183ab2397ab1912b46d3050ba9c2d54.h5,5.044188967625771e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9383d946e46bdbc30bec837fceec16b6.h5,5.083233169054527e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/00eef980e80d85ea31486ede2b852546.h5,5.012236661393432e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/527710cdebab0b8f6bdd5b0ece99b244.h5,5.077810097917877e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/dc634f796a0e41fb840fc07f9c801c60.h5,5.045453996207487e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/10f4e6cbb5317b34b5cfd0cf80ee560c.h5,5.011608466711845e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ef703d333ee854c6bc6513a38368da3a.h5,5.017045096356259e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9e13d0e42188d8a005f4fe1f95894f7d.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/64022e7b7dc2c05cf034668927ac67f8.h5,5.060314235223769e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/961e31daeec15f16eeca513a447a7b6b.h5,5.012704761438233e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/27d4d7398007b3b58a83a93baba3bc09.h5,5.065549097776425e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/31b559a8b9941d9581cbf997371aa69a.h5,5.01332729286492e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f009a9abaee9ece40eda71d07088bed4.h5,5.019004840781803e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f0676a9e847160686899261ae29e7fe0.h5,5.083060305832352e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/e0687e60b3d256a16cb9ea506a593c68.h5,5.071404434686402e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/505afd1b52261e9d29ecb30082d0633d.h5,5.059682435743267e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/35bb28b0fb12defb377f3f25aa8a932b.h5,5.04087772410962e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/b914c860a0fa22605fc8bb71e209beb3.h5,5.071404434686402e-10
